1999,,,,,,,,,,,,,,,,
 , 65-69,18828,9208,9620,458,319,139,14168,7889,6279,555,375,180,3647,625,3022
 , 70-74,15600,7605,7995,366,280,86,10561,6224,4337,324,188,136,4349,913,3436
 , 75-79,11976,5990,5986,333,260,73,6830,4466,2364,243,153,90,4570,1111,3459
 , 80-84,7151,3553,3598,252,203,49,3195,2341,854,132,80,52,3572,929,2643
 , 85-89,3273,1433,1840,131,94,37,973,740,233,63,39,24,2106,560,1546
 , 90-94,968,373,595,58,42,16,180,142,38,13,10,3,717,179,538
 , 95-99,208,82,126,22,18,4,34,30,4,1,1,0,151,33,118
 ,100,39,24,15,10,9,1,9,7,2,0,0,0,20,8,12
2008,,,,,,,,,,,,,,,,
 , 總計,460902,235855,225047,203664,111002,92662,205854,107117,98737,23706,12307,11399,27678,5429,22249
 , 未滿15,76625,39967,36658,76625,39967,36658,0,0,0,0,0,0,0,0,0
 , 15-19,33800,17583,16217,33647,17556,16091,147,27,120,6,0,6,0,0,0
 , 20-24,33607,17339,16268,31637,16855,14782,1742,431,1311,221,51,170,7,2,5
 , 25-29,38999,19937,19062,28046,15912,12134,9667,3570,6097,1238,452,786,48,3,45
 , 30-34,35166,18097,17069,14016,8572,5444,18404,8303,10101,2635,1209,1426,111,13,98
 , 35-39,34548,18046,16502,6939,4295,2644,23784,11954,11830,3534,1758,1776,291,39,252
 , 40-44,36296,19045,17251,4508,2731,1777,27091,14061,13030,4143,2179,1964,554,74,480
 , 45-49,36887,19104,17783,3032,1847,1185,28548,14883,13665,4204,2223,1981,1103,151,952
 , 50-54,32519,16535,15984,1897,1120,777,25635,13423,12212,3302,1762,1540,1685,230,1455
 , 55-59,26820,13459,13361,1198,665,533,21297,11327,9970,2120,1199,921,2205,268,1937
 , 60-64,16509,8192,8317,533,300,233,12994,7036,5958,869,546,323,2113,310,1803
 , 65-69,18692,9118,9574,451,307,144,14026,7811,6215,613,418,195,3602,582,3020
 , 70-74,15874,7644,8230,375,284,91,10793,6285,4508,350,215,135,4356,860,3496
 , 75-79,12275,6008,6267,312,243,69,7002,4516,2486,249,151,98,4712,1098,3614
 , 80-84,7546,3783,3763,248,199,49,3432,2509,923,142,90,52,3724,985,2739
 , 85-89,3471,1522,1949,120,84,36,1069,804,265,63,44,19,2219,590,1629
 , 90-94,1005,364,641,53,42,11,184,141,43,15,9,6,753,172,581
 , 95-99,230,93,137,18,15,3,35,33,2,1,0,1,176,45,131
 ,100,33,19,14,9,8,1,4,3,1,1,1,0,19,7,12
2009,,,,,,,,,,,,,,,,
 , 總計,461625,235714,225911,203314,110777,92537,205240,106513,98727,24980,12956,12024,28091,5468,22623
 , 未滿15,73639,38485,35154,73639,38485,35154,0,0,0,0,0,0,0,0,0
 , 15-19,33960,17657,16303,33817,17635,16182,128,19,109,15,3,12,0,0,0
 , 20-24,32891,17058,15833,31209,16613,14596,1480,393,1087,196,50,146,6,2,4
 , 25-29,38380,19478,18902,28542,16032,12510,8645,3045,5600,1150,397,753,43,4,39
 , 30-34,36032,18458,17574,15235,9250,5985,18022,7978,10044,2669,1218,1451,106,12,94
